column,null_count,percentage
record_id_null_count,0,0.0
change_type_null_count,0,0.0
recipient_type_null_count,0,0.0
teaching_hospital_ccn_null_count,16096287,99.78
teaching_hospital_id_null_count,16096287,99.78
teaching_hospital_name_null_count,16096287,99.78
recipient_profile_id_null_count,35569,0.22
recipient_npi_null_count,42823,0.27
recipient_first_name_null_count,35689,0.22
recipient_middle_name_null_count,6449902,39.98
recipient_last_name_null_count,36028,0.22
recipient_name_suffix_null_count,16022345,99.32
recipient_address_line_1_null_count,25,0.0
recipient_address_line_2_null_count,13255516,82.17
recipient_city_null_count,1,0.0
recipient_state_null_count,493,0.0
recipient_zip_code_null_count,493,0.0
recipient_country_null_count,0,0.0
recipient_province_null_count,16131461,100.0
recipient_postal_code_null_count,16131363,100.0
recipient_type_1_null_count,35569,0.22
recipient_type_2_null_count,16130776,99.99
recipient_type_3_null_count,16131174,100.0
recipient_type_4_null_count,16131174,100.0
recipient_type_5_null_count,16131174,100.0
recipient_type_6_null_count,16131174,100.0
recipient_specialty_1_null_count,35569,0.22
recipient_specialty_2_null_count,16131829,100.0
recipient_specialty_3_null_count,16131856,100.0
recipient_specialty_4_null_count,16131856,100.0
recipient_specialty_5_null_count,16131856,100.0
recipient_specialty_6_null_count,16131856,100.0
license_state_1_null_count,35569,0.22
license_state_2_null_count,15920496,98.69
license_state_3_null_count,16068755,99.61
license_state_4_null_count,16108915,99.86
license_state_5_null_count,16122225,99.94
submitting_manufacturer_gpo_name_null_count,0,0.0
manufacturer_gpo_id_null_count,0,0.0
manufacturer_gpo_name_null_count,0,0.0
manufacturer_gpo_state_null_count,56294,0.35
manufacturer_gpo_country_null_count,0,0.0
payment_amount_usd_null_count,0,0.0
payment_date_null_count,0,0.0
payment_count_null_count,0,0.0
payment_form_null_count,0,0.0
payment_nature_null_count,0,0.0
travel_city_null_count,15508408,96.14
travel_state_null_count,15524875,96.24
travel_country_null_count,15508360,96.14
physician_ownership_indicator_null_count,2583880,16.02
third_party_payment_recipient_indicator_null_count,0,0.0
third_party_entity_name_null_count,16007147,99.23
charity_indicator_null_count,11894363,73.73
third_party_equals_recipient_indicator_null_count,15964985,98.97
contextual_information_null_count,15228672,94.4
delay_in_publication_indicator_null_count,0,0.0
dispute_status_null_count,0,0.0
related_product_indicator_null_count,0,0.0
product_1_coverage_indicator_null_count,1030892,6.39
product_1_type_null_count,1293547,8.02
product_1_category_null_count,1305381,8.09
product_1_name_null_count,1326122,8.22
product_1_ndc_null_count,4810553,29.82
product_1_pdi_null_count,13663255,84.7
product_2_coverage_indicator_null_count,13725289,85.08
product_2_type_null_count,13788094,85.47
product_2_category_null_count,13793885,85.51
product_2_name_null_count,13789279,85.48
product_2_ndc_null_count,14110217,87.47
product_2_pdi_null_count,15856199,98.29
product_3_coverage_indicator_null_count,15586479,96.62
product_3_type_null_count,15601201,96.71
product_3_category_null_count,15602630,96.72
product_3_name_null_count,15604261,96.73
product_3_ndc_null_count,15771608,97.77
product_3_pdi_null_count,15990284,99.12
product_4_coverage_indicator_null_count,15838763,98.18
product_4_type_null_count,15846548,98.23
product_4_category_null_count,15846584,98.23
product_4_name_null_count,15848493,98.24
product_4_ndc_null_count,15966682,98.98
product_4_pdi_null_count,16042661,99.45
product_5_coverage_indicator_null_count,15942695,98.83
product_5_type_null_count,15946841,98.85
product_5_category_null_count,15946857,98.85
product_5_name_null_count,15947056,98.85
product_5_ndc_null_count,16038758,99.42
product_5_pdi_null_count,16065262,99.59
program_year_null_count,0,0.0
payment_publication_date_null_count,0,0.0
